movie_title,combination
inside man,Denzel Washington James Ransone Peter Gerety Spike Lee Crime Drama Mystery Thriller
payback,Bill Duke Deborah Kara Unger William Devane Brian Helgeland Action Crime Drama Thriller
congo,Dylan Walsh Joe Don Baker Grant Heslov Frank Marshall Action Adventure Mystery Sci-Fi
we bought a zoo,Scarlett Johansson Matt Damon Stephanie Szostak Cameron Crowe Comedy Drama Family
knowing,Nicolas Cage Ben Mendelsohn Chandler Canterbury Alex Proyas Drama Mystery Sci-Fi Thriller
failure to launch,Bradley Cooper Matthew McConaughey Zooey Deschanel Tom Dey Comedy Romance
the ring two,Naomi Watts Gary Cole Sissy Spacek Hideo Nakata Horror Mystery
"crazy, stupid, love.",Ryan Gosling Emma Stone Steve Carell Glenn Ficarra Comedy Drama Romance
garfield,Bill Murray Mark Christopher Lawrence Michael Monks Peter Hewitt Animation Comedy Family Fantasy
christmas with the kranks,Jamie Lee Curtis Cheech Marin Jake Busey Joe Roth Comedy Family
moneyball,Philip Seymour Hoffman Robin Wright Brad Pitt Bennett Miller Biography Drama Sport
outbreak,Kevin Spacey Morgan Freeman Rene Russo Wolfgang Petersen Action Drama Thriller
non-stop,Liam Neeson Nate Parker Scoot McNairy Jaume Collet-Serra Action Mystery Thriller
race to witch mountain,Dwayne Johnson Billy Brown Tom Everett Scott Andy Fickman Action Adventure Family Fantasy Sci-Fi Thriller
v for vendetta,Natalie Portman Eddie Marsan Rupert Graves James McTeigue Action Drama Thriller
shanghai knights,Fann Wong Anna-Louise Plowman Georgina Chapman David Dobkin Action Adventure Comedy
unforgotten            ,Bernard Hill Gemma Jones Nicola Walker unknown Crime Drama
curious george,Will Ferrell Frank Welker Alexander Gould Matthew O'Callaghan Adventure Animation Comedy Family
herbie fully loaded,Scoot McNairy Thomas Lennon Cheryl Hines Angela Robinson Adventure Comedy Family Fantasy Romance Sport
don't say a word,Oliver Platt Jennifer Esposito Conrad Goode Gary Fleder Crime Drama Mystery Thriller
hansel & gretel: witch hunters,Jeremy Renner Derek Mears Ingrid Bolsø Berdal Tommy Wirkola Action Fantasy Horror
unfaithful,Olivier Martinez Erik Per Sullivan Chad Lowe Adrian Lyne Drama Thriller
i am number four,Alex Pettyfer Emily Wickersham Reuben Langdon D.J. Caruso Action Adventure Sci-Fi Thriller
syriana,Matt Damon Amr Waked Kayvan Novak Stephen Gaghan Drama Thriller
13 hours,Toby Stephens James Badge Dale David Costabile Michael Bay Action Drama Thriller War
the book of life,Channing Tatum Hector Elizondo Ana de la Reguera Jorge R. Gutiérrez Adventure Animation Comedy Family Fantasy Romance
firewall,Jimmy Bennett Harrison Ford Mary Lynn Rajskub Richard Loncraine Crime Thriller
absolute power,Clint Eastwood Mark Margolis Scott Glenn Clint Eastwood Action Crime Drama Thriller
g.i. jane,Viggo Mortensen Demi Moore John Michael Higgins Ridley Scott Action Drama War
the game,Deborah Kara Unger Armin Mueller-Stahl Charles Martinet David Fincher Drama Mystery Thriller
silent hill,Radha Mitchell Deborah Kara Unger Alice Krige Christophe Gans Adventure Horror Mystery
the replacements,Keanu Reeves Jon Favreau Faizon Love Howard Deutch Comedy Sport
american reunion,Alyson Hannigan Dania Ramirez Natasha Lyonne Jon Hurwitz Comedy
the negotiator,Kevin Spacey Michael Cudlitz Siobhan Fallon Hogan F. Gary Gray Action Crime Drama Mystery Thriller
into the storm,Matt Walsh Alycia Debnam-Carey Scott Lawrence Steven Quale Action Thriller
beverly hills cop iii,Louis Lombardi Jon Tenney Gilbert R. Hill John Landis Action Comedy Crime Thriller
gremlins 2: the new batch,Christopher Lee Robert Picardo Phoebe Cates Joe Dante Comedy Fantasy Horror
the judge,Robert Downey Jr. Robert Duvall Leighton Meester David Dobkin Crime Drama
the peacemaker,Armin Mueller-Stahl Holt McCallany Marcel Iures Mimi Leder Action Thriller
resident evil: apocalypse,Milla Jovovich Thomas Kretschmann Mike Epps Alexander Witt Action Horror Sci-Fi Thriller
bridget jones: the edge of reason,Colin Firth Jim Broadbent Celia Imrie Beeban Kidron Comedy Drama Romance
out of time,Denzel Washington Sanaa Lathan John Billingsley Carl Franklin Crime Drama Romance Thriller
on deadly ground,Mike Starr Joan Chen Sven-Ole Thorsen Steven Seagal Action Adventure Thriller
the adventures of sharkboy and lavagirl 3-d,Taylor Lautner Kristin Davis Taylor Dooley Robert Rodriguez Action Adventure Family Fantasy
the beach,Leonardo DiCaprio Virginie Ledoyen Peter Youngblood Hills Danny Boyle Adventure Drama Thriller
raising helen,Amber Valletta Felicity Huffman Spencer Breslin Garry Marshall Comedy Drama Romance
ninja assassin,Shô Kosugi Ben Miles Rain James McTeigue Action Crime Thriller
for love of the game,J.K. Simmons Kelly Preston Carmine Giovinazzo Sam Raimi Drama Romance Sport
a touch of frost            ,David Jason Bruce Alexander John Lyons unknown Crime Drama Mystery
striptease,Demi Moore Rumer Willis Paul Guilfoyle Andrew Bergman Comedy Crime Drama Thriller
marmaduke,Emma Stone Judy Greer Steve Coogan Tom Dey Comedy Family
hereafter,Matt Damon Jay Mohr Cécile De France Clint Eastwood Drama Fantasy
murder by numbers,Ryan Gosling Chris Penn Agnes Bruckner Barbet Schroeder Crime Mystery Thriller
assassins,Muse Watson Sylvester Stallone Kelly Rowan Richard Donner Action Crime Thriller
hannibal rising,Li Gong Stephen Walters Richard Brake Peter Webber Crime Drama Thriller
the story of us,Bruce Willis Tim Matheson Rita Wilson Rob Reiner Comedy Drama Romance
the host,J.D. Evermore Chandler Canterbury Rachel Roberts Andrew Niccol Action Adventure Romance Sci-Fi Thriller
basic,Connie Nielsen Harry Connick Jr. Tim Daly John McTiernan Action Crime Drama Mystery Thriller
blood work,Clint Eastwood Anjelica Huston Rick Hoffman Clint Eastwood Action Crime Drama Mystery Thriller
the international,Naomi Watts Brían F. O'Byrne Armin Mueller-Stahl Tom Tykwer Action Crime Drama Mystery Thriller
escape from l.a.,Steve Buscemi Valeria Golino Michelle Forbes John Carpenter Action Adventure Sci-Fi Thriller
twisted            ,Grey Damon Brittany Curran Aaron Hill unknown Drama Mystery Thriller
the iron giant,Vin Diesel Harry Connick Jr. M. Emmet Walsh Brad Bird Action Adventure Animation Comedy Drama Family Sci-Fi
the life aquatic with steve zissou,Bill Murray Anjelica Huston Matthew Gray Gubler Wes Anderson Adventure Comedy Drama
free state of jones,Matthew McConaughey Donald Watkins Jessica Collins Gary Ross Action Biography Drama History War
the life of david gale,Kevin Spacey Kate Winslet Matt Craven Alan Parker Crime Drama Thriller
man of the house,Christina Milian Vanessa Ferlito Kelli Garner Stephen Herek Action Comedy
run all night,Liam Neeson Common Bruce McGill Jaume Collet-Serra Action Crime Drama Thriller
eastern promises,Viggo Mortensen Naomi Watts Raza Jaffrey David Cronenberg Crime Mystery Thriller
into the blue,Paul Walker James Frain Ashley Scott John Stockwell Action Adventure Crime Thriller
the messenger: the story of joan of arc,Paul Brooke David Bailie Rab Affleck Luc Besson Adventure Biography Drama History War
your highness,Natalie Portman Zooey Deschanel James Franco David Gordon Green Adventure Comedy Fantasy
dream house,Naomi Watts Gregory Smith Sarah Gadon Jim Sheridan Drama Mystery Thriller
mad city,Mia Kirshner Blythe Danner William Atherton Costa-Gavras Crime Drama Thriller
baby's day out,Joe Mantegna Lara Flynn Boyle Cynthia Nixon Patrick Read Johnson Adventure Comedy Crime Drama Family
the scarlet letter,Gary Oldman Robert Duvall Demi Moore Roland Joffé Drama Romance
fair game,Naomi Watts Ty Burrell Brooke Smith Doug Liman Biography Drama Thriller
defiance            ,Julie Benz Tony Curran Grant Bowler unknown Action Drama Sci-Fi
domino,Ian Ziering Mo'Nique Edgar Ramírez Tony Scott Action Biography Crime Drama Thriller
jade,Michael Biehn Chazz Palminteri Linda Fiorentino William Friedkin Crime Drama Thriller
gamer,Gerard Butler Logan Lerman Alison Lohman Mark Neveldine Action Sci-Fi Thriller
beautiful creatures,Alden Ehrenreich Zoey Deutch Pruitt Taylor Vince Richard LaGravenese Drama Fantasy Romance
death to smoochy,Robin Williams Vincent Schiavelli Danny Woodburn Danny DeVito Comedy Crime Drama Thriller
zoolander 2,Milla Jovovich Will Ferrell Justin Theroux Ben Stiller Comedy
the big bounce,Morgan Freeman Andrew Wilson Willie Nelson George Armitage Comedy Crime
what planet are you from?,Judy Greer Linda Fiorentino Garry Shandling Mike Nichols Comedy Sci-Fi
drive angry,Nicolas Cage Billy Burke Katy Mixon Patrick Lussier Action Fantasy Thriller
street fighter: the legend of chun-li,Chris Klein Robin Shou Josie Ho Andrzej Bartkowiak Action Crime Drama Mystery Thriller
the one,Jason Statham Jet Li Delroy Lindo James Wong Action Sci-Fi Thriller
outlander            ,Tobias Menzies Graham McTavish Stephen Walters unknown Drama Romance Sci-Fi
the adventures of ford fairlane,Lauren Holly Gilbert Gottfried David Patrick Kelly Renny Harlin Action Adventure Comedy Crime Music Mystery
pirate radio,Philip Seymour Hoffman Charlie Rowe Tom Sturridge Richard Curtis Comedy Drama Music
traffic,Michael O'Neill Jacob Vargas James Lew Steven Soderbergh Crime Drama Thriller
indiana jones and the last crusade,Harrison Ford Julian Glover Alison Doody Steven Spielberg Action Adventure Fantasy
anna karenina,Kelly Macdonald Guro Nagelhus Schia Matthew Macfadyen Joe Wright Drama Romance
chappie,Hugh Jackman Sharlto Copley Jose Pablo Cantillo Neill Blomkamp Action Crime Drama Sci-Fi Thriller
the bone collector,Denzel Washington Angelina Jolie Pitt Leland Orser Phillip Noyce Crime Drama Mystery Thriller
panic room,Kristen Stewart Dwight Yoakam Mel Rodriguez David Fincher Crime Drama Thriller
the tooth fairy,P.J. Soles Lochlyn Munro Steve Bacic Chuck Bowman Horror Thriller
three kings,Judy Greer Jamie Kennedy Mykelti Williamson David O. Russell Action Adventure Comedy Drama War
child 44,Tom Hardy Fares Fares Michael Nardone Daniel Espinosa Crime Drama Thriller
rat race,Corinna Harney Douglas Haase Vince Vieluf Jerry Zucker Adventure Comedy
k-pax,Kevin Spacey Jeff Bridges Alfre Woodard Iain Softley Drama Mystery Sci-Fi
kate & leopold,Hugh Jackman Natasha Lyonne Bradley Whitford James Mangold Comedy Fantasy Romance
bedazzled,Brendan Fraser Frances O'Connor Brian Doyle-Murray Harold Ramis Comedy Fantasy Romance
the cotton club,Nicolas Cage Bob Hoskins Fred Gwynne Francis Ford Coppola Crime Drama Music
3:10 to yuma,Christian Bale Logan Lerman Gretchen Mol James Mangold Adventure Crime Drama Western
taken 3,Liam Neeson Dougray Scott Jon Gries Olivier Megaton Action Thriller
out of sight,Don Cheadle Albert Brooks Keith Hudson Steven Soderbergh Crime Drama Romance Thriller
the cable guy,Matthew Broderick Janeane Garofalo Andy Dick Ben Stiller Comedy Drama Thriller
earth,Nandita Das Gulshan Grover Eric Peterson Deepa Mehta Drama Romance War
dick tracy,Charlie Korsmo Warren Beatty Seymour Cassel Warren Beatty Action Comedy Crime Music Romance Thriller
the thomas crown affair,Mark Margolis Faye Dunaway Denis Leary John McTiernan Crime Romance Thriller
riding in cars with boys,Rosie Perez Adam Garcia Alissa Dean Penny Marshall Biography Comedy Drama
first blood,Sylvester Stallone Brian Dennehy Chris Mulkey Ted Kotcheff Action Adventure Drama
solaris,Donatas Banionis Anatoliy Solonitsyn Natalya Bondarchuk Andrei Tarkovsky Drama Mystery Sci-Fi
happily n'ever after,Sarah Michelle Gellar George Carlin Rob Paulsen Paul Bolger Adventure Animation Comedy Family Fantasy
mary reilly,Julia Roberts Bronagh Gallagher George Cole Stephen Frears Drama Horror Romance Thriller
my best friend's wedding,Julia Roberts Christopher Masterson Rupert Everett P.J. Hogan Comedy Romance
america's sweethearts,Julia Roberts Rainn Wilson Larry King Joe Roth Comedy Romance
insomnia,Al Pacino Maura Tierney Crystal Lowe Christopher Nolan Drama Mystery Thriller
star trek: first contact,LeVar Burton Alfre Woodard Jonathan Frakes Jonathan Frakes Action Adventure Drama Sci-Fi Thriller
jonah hex,Michael Fassbender Billy Blair Julia Jones Jimmy Hayward Action Drama Fantasy Thriller Western
courage under fire,Denzel Washington Matt Damon Scott Glenn Edward Zwick Action Drama Mystery Thriller War
liar liar,Maura Tierney Swoosie Kurtz Randall 'Tex' Cobb Tom Shadyac Comedy Fantasy Romance
the infiltrator,Joseph Gilgun Amy Ryan Olympia Dukakis Brad Furman Biography Crime Drama Thriller
inchon,Laurence Olivier Ben Gazzara Jacqueline Bisset Terence Young Drama History War
the flintstones,Jonathan Winters Elizabeth Perkins Harvey Korman Brian Levant Comedy Family Fantasy
taken 2,Liam Neeson Luke Grimes D.B. Sweeney Olivier Megaton Action Crime Thriller
scary movie 3,Regina Hall Pamela Anderson Jenny McCarthy David Zucker Comedy
miss congeniality,Candice Bergen Wendy Raquel Robinson Heather Burns Donald Petrie Action Comedy Crime Romance
journey to the center of the earth,Josh Hutcherson Brendan Fraser Anita Briem Eric Brevig Action Adventure Family Fantasy Sci-Fi
the princess diaries 2: royal engagement,Anne Hathaway Raven-Symoné Hector Elizondo Garry Marshall Comedy Family Romance
the pelican brief,Denzel Washington Julia Roberts Tony Goldwyn Alan J. Pakula Crime Drama Mystery Thriller
the client,Bradley Whitford Anthony LaPaglia Brad Renfro Joel Schumacher Crime Drama Mystery Thriller
the bucket list,Morgan Freeman Noel Gugliemi Sean Hayes Rob Reiner Adventure Comedy Drama
patriot games,Harrison Ford Polly Walker Patrick Bergin Phillip Noyce Action Thriller
monster-in-law,Adam Scott Jane Fonda Elaine Stritch Robert Luketic Comedy Romance
prisoners,Hugh Jackman Jake Gyllenhaal Dylan Minnette Denis Villeneuve Crime Drama Mystery Thriller
training day,Denzel Washington Snoop Dogg Tom Berenger Antoine Fuqua Crime Drama Thriller
galaxy quest,Alan Rickman Enrico Colantoni Robin Sachs Dean Parisot Adventure Comedy Sci-Fi
scary movie 2,Natasha Lyonne Veronica Cartwright Andy Richter Keenen Ivory Wayans Comedy
the muppets,Bill Cobbs Eric Jacobson Steve Whitmire James Bobin Adventure Comedy Family Musical
blade,Sanaa Lathan Traci Lords Udo Kier Stephen Norrington Action Horror
coach carter,Channing Tatum Rick Gonzalez Robert Ri'chard Thomas Carter Drama Sport
changing lanes,Sydney Pollack Matt Malloy Bruce Altman Roger Michell Drama Thriller
anaconda,Frank Welker Eric Stoltz Kari Wuhrer Luis Llosa Action Adventure Horror Thriller
coyote ugly,Adam Garcia Tyra Banks Izabella Miko David McNally Comedy Drama Music Romance
love actually,Colin Firth Liam Neeson Kris Marshall Richard Curtis Comedy Drama Romance
a bug's life,Kevin Spacey Madeline Kahn John Ratzenberger John Lasseter Adventure Animation Comedy Family Fantasy
from hell,Johnny Depp Jason Flemyng Ian Richardson Albert Hughes Horror Mystery Thriller
the specialist,Sylvester Stallone Rod Steiger Emilio Estefan Jr. Luis Llosa Action Crime Drama Romance Thriller
tin cup,Don Johnson Cheech Marin Rene Russo Ron Shelton Comedy Drama Romance Sport
"yours, mine and ours",Lucille Ball Tom Bosley Tim Matheson Melville Shavelson Comedy Family
kicking & screaming,Josh Hutcherson Will Ferrell Robert Duvall Jesse Dylan Comedy Family Romance Sport
the hitchhiker's guide to the galaxy,Zooey Deschanel Kelly Macdonald Thomas Lennon Garth Jennings Adventure Comedy Sci-Fi
fat albert,Dania Ramirez Nick Zano Alice Greczyn Joel Zwick Comedy Family Fantasy Romance
resident evil: extinction,Milla Jovovich Mike Epps James Tumminia Russell Mulcahy Action Horror Sci-Fi Thriller
blended,Bella Thorne Adam Sandler Joel McHale Frank Coraci Comedy Romance
last holiday,LL Cool J Alicia Witt Timothy Hutton Wayne Wang Adventure Comedy Drama
the river wild,Meryl Streep Glenn Morshower William Lucking Curtis Hanson Action Adventure Crime Thriller
the indian in the cupboard,Steve Coogan Vincent Kartheiser David Keith Frank Oz Drama Family Fantasy
savages,Demián Bichir Shea Whigham Gary Stretch Oliver Stone Crime Drama Thriller
cellular,Richard Burgi Valerie Cruz Will Beinbrink David R. Ellis Action Crime Thriller
johnny english,Kevin McNally Natalie Imbruglia Ben Miller Peter Howitt Action Adventure Comedy
the ant bully,Nicolas Cage Meryl Streep Julia Roberts John A. Davis Adventure Animation Comedy Family Fantasy
dune,Virginia Madsen Jürgen Prochnow José Ferrer David Lynch Action Adventure Sci-Fi
across the universe,Jim Sturgess T.V. Carpio Robert Clohessy Julie Taymor Drama Fantasy Musical Romance
revolutionary road,Leonardo DiCaprio Kate Winslet Joe Komara Sam Mendes Drama Romance
16 blocks,Bruce Willis David Zayas Sasha Roiz Richard Donner Action Crime Drama Thriller
babylon a.d.,Vin Diesel Charlotte Rampling David Belle Mathieu Kassovitz Action Adventure Sci-Fi Thriller
the glimmer man,Alexa PenaVega Bob Gunton Keenen Ivory Wayans John Gray Action Comedy Crime Drama Thriller
multiplicity,John de Lancie Brian Doyle-Murray Obba Babatundé Harold Ramis Comedy Romance Sci-Fi
aliens in the attic,Malese Jow Carter Jenkins Tim Meadows John Schultz Adventure Comedy Family Fantasy Sci-Fi
the pledge,Costas Mandylor Adrien Dorval Nels Lennarson Sean Penn Crime Drama Mystery Thriller
the producers,Jon Lovitz Will Ferrell Matthew Broderick Susan Stroman Comedy Musical
dredd,Wood Harris Jason Cope Rakie Ayola Pete Travis Action Sci-Fi
the phantom,Cary-Hiroyuki Tagawa Treat Williams Kristy Swanson Simon Wincer Action Adventure Comedy Fantasy
all the pretty horses,Matt Damon Henry Thomas Sam Shepard Billy Bob Thornton Drama Romance Western
nixon,Anthony Hopkins Bob Hoskins Joan Allen Oliver Stone Biography Drama History
the ghost writer,Jim Belushi Olivia Williams Timothy Hutton Roman Polanski Mystery Thriller
deep rising,Djimon Hounsou Jason Flemyng Wes Studi Stephen Sommers Action Adventure Horror Sci-Fi
miracle at st. anna,Joseph Gordon-Levitt Omari Hardwick Laz Alonso Spike Lee Action Crime Drama Thriller War
curse of the golden flower,Li Gong Ye Liu Man Li Yimou Zhang Drama Romance
bangkok dangerous,Nicolas Cage Charlie Yeung James With Danny Pang Action Crime Thriller
big trouble,Zooey Deschanel Janeane Garofalo Omar Epps Barry Sonnenfeld Comedy Crime Thriller
love in the time of cholera,Marcela Mar Giovanna Mezzogiorno Unax Ugalde Mike Newell Drama Romance
the returned            ,Pierre Perrier Clotilde Hesme Céline Sallette unknown Drama Fantasy Horror Mystery
shadow conspiracy,Sam Waterston Ben Gazzara Nicholas Turturro George P. Cosmatos Action Thriller
johnny english reborn,Daniel Kaluuya Tim McInnerny Togo Igawa Oliver Parker Action Adventure Comedy Crime
foodfight!,Jerry Stiller Larry Miller Harvey Fierstein Lawrence Kasanoff Action Animation Comedy Family Fantasy
argo,Clea DuVall Scoot McNairy Tate Donovan Ben Affleck Biography Drama History Thriller
the fugitive,Harrison Ford Daniel Roebuck Sela Ward Andrew Davis Action Adventure Crime Drama Mystery Thriller
the bounty hunter,Gerard Butler Dorian Missick Peter Greene Andy Tennant Action Comedy Romance
sleepers,Robert De Niro Brad Pitt Minnie Driver Barry Levinson Crime Drama Thriller
rambo: first blood part ii,Sylvester Stallone Julia Nickson Martin Kove George P. Cosmatos Action Adventure Thriller War
the juror,Joseph Gordon-Levitt Demi Moore Anne Heche Brian Gibson Drama Thriller
pinocchio,Mel Blanc Dickie Jones Cliff Edwards Norman Ferguson Animation Family Fantasy Musical
heaven's gate,Jeff Bridges Sam Waterston Isabelle Huppert Michael Cimino Adventure Drama Western
underworld: evolution,Sophia Myles Tony Curran Derek Jacobi Len Wiseman Action Adventure Fantasy Sci-Fi Thriller
victor frankenstein,Daniel Radcliffe Spencer Wilding Daniel Mays Paul McGuigan Drama Horror Sci-Fi Thriller
finding forrester,F. Murray Abraham Rob Brown Michael Nouri Gus Van Sant Drama
28 days,Steve Buscemi Viggo Mortensen Elizabeth Perkins Betty Thomas Comedy Drama
unleashed,Morgan Freeman Jet Li Bob Hoskins Louis Leterrier Action Crime Drama Thriller
the sweetest thing,Judith Chapman Lillian Adams Chelsea Bond Roger Kumble Comedy Romance
the firm,Tom Cruise Holly Hunter Wilford Brimley Sydney Pollack Drama Mystery Thriller
charlie st. cloud,Augustus Prew Charlie Tahan Valerie Tian Burr Steers Drama Fantasy Romance
the mechanic,Jason Statham Tony Goldwyn Mini Anden Simon West Action Crime Thriller
21 jump street,Channing Tatum Dax Flame Rob Riggle Phil Lord Action Comedy Crime
notting hill,Julia Roberts Clarke Peters Dylan Moran Roger Michell Comedy Drama Romance
chicken run,Imelda Staunton Miranda Richardson Julia Sawalha Peter Lord Adventure Animation Comedy Drama Family
along came polly,Philip Seymour Hoffman Masi Oka Debra Messing John Hamburg Comedy Romance
boomerang,John Witherspoon Eartha Kitt Geoffrey Holder Reginald Hudlin Comedy Drama Romance
the heat,Michael Rapaport William Xifaras Demián Bichir Paul Feig Action Comedy Crime
cleopatra,Martin Landau Richard Burton Roddy McDowall Joseph L. Mankiewicz Biography Drama History Romance
here comes the boom,Salma Hayek Reggie Lee Charice Frank Coraci Action Comedy Sport
high crimes,Morgan Freeman Adam Scott Bruce Davison Carl Franklin Crime Drama Mystery Thriller
the mirror has two faces,Jeff Bridges Austin Pendleton Mimi Rogers Barbra Streisand Comedy Drama Romance
the mothman prophecies,Debra Messing Will Patton David Eigenberg Mark Pellington Drama Horror Mystery Thriller
brüno,Bono Elton John Slash Larry Charles Comedy
licence to kill,Robert Davi Talisa Soto Anthony Zerbe John Glen Action Adventure Thriller
red riding hood,Gary Oldman Billy Burke Virginia Madsen Catherine Hardwicke Fantasy Horror Mystery Thriller
15 minutes,Robert De Niro Charlize Theron Kelsey Grammer John Herzfeld Action Crime Drama Thriller
super mario bros.,Bob Hoskins Fisher Stevens Fiona Shaw Annabel Jankel Adventure Comedy Family Fantasy Sci-Fi
lord of war,Nicolas Cage Jeremy Crutchley Jared Burke Andrew Niccol Crime Drama Thriller
hero,Jet Li Tony Chiu Wai Leung Maggie Cheung Yimou Zhang Action Adventure History
one for the money,Fisher Stevens Debbie Reynolds Patrick Fischler Julie Anne Robinson Action Comedy Crime Romance Thriller
the interview,James Franco Randall Park Anders Holm Evan Goldberg Comedy
the warrior's way,Tony Cox Dong-gun Jang Jed Brophy Sngmoo Lee Action Fantasy Western
mchale's navy            ,Tim Conway Gavin MacLeod Bob Hastings unknown Comedy War
micmacs,Omar Sy Dany Boon André Dussollier Jean-Pierre Jeunet Action Comedy Crime
8 mile,Mekhi Phifer Omar Benson Miller Evan Jones Curtis Hanson Drama Music
animal kingdom: let's go ape,Jamel Debbouze Youssef Hajdi Mélissa Theuriau Jamel Debbouze Adventure Animation Comedy Family
a knight's tale,Heath Ledger Rufus Sewell Bérénice Bejo Brian Helgeland Action Adventure Romance
the medallion,Julian Sands Lee Evans Anthony Chau-Sang Wong Gordon Chan Action Comedy Fantasy
the sixth sense,Bruce Willis Haley Joel Osment Olivia Williams M. Night Shyamalan Drama Mystery Thriller
man on a ledge,Robert Clohessy Mandy Gonzalez J. Smith-Cameron Asger Leth Action Crime Thriller
the big year,Joel McHale Kevin Pollak JoBeth Williams David Frankel Comedy
the karate kid,Martin Kove William Zabka William Bassett John G. Avildsen Action Drama Family Sport
american hustle,Jennifer Lawrence Christian Bale Bradley Cooper David O. Russell Crime Drama
the proposal,Ryan Reynolds Denis O'Hare Craig T. Nelson Anne Fletcher Comedy Drama Romance
double jeopardy,Bruce Greenwood Annabeth Gish Bruce Campbell Bruce Beresford Crime Mystery Thriller
back to the future part ii,Lea Thompson Jeffrey Weissman Thomas F. Wilson Robert Zemeckis Adventure Comedy Sci-Fi
lucy,Scarlett Johansson Morgan Freeman Amr Waked Luc Besson Action Sci-Fi Thriller
fifty shades of grey,Jennifer Ehle Luke Grimes Callum Rennie Sam Taylor-Johnson Drama Romance
spy kids 3-d: game over,Sylvester Stallone Salma Hayek Alexa PenaVega Robert Rodriguez Action Adventure Comedy Family Sci-Fi
a time to kill,Kevin Spacey Matthew McConaughey Oliver Platt Joel Schumacher Crime Drama Thriller
cheaper by the dozen,Tom Welling Alyson Stoner Bonnie Hunt Shawn Levy Comedy Family
lone survivor,Jerry Ferrara Scott Elrod Dan Bilzerian Peter Berg Action Biography Drama Thriller War
a league of their own,Tom Hanks Lori Petty Rosie O'Donnell Penny Marshall Comedy Drama Sport
the conjuring 2,Javier Botet Frances O'Connor Robin Atkin Downes James Wan Horror Mystery Thriller
the social network,Andrew Garfield Dustin Fitzsimons Marcella Lentz-Pope David Fincher Biography Drama
he's just not that into you,Carmen Perez Sabrina Revelle Sachiko Ishida Ken Kwapis Comedy Drama Romance
scary movie 4,Beau Mirchoff Carmen Electra Regina Hall David Zucker Comedy
scream 3,Kelly Rutherford Roger Jackson Nancy O'Dell Wes Craven Horror Mystery
back to the future part iii,Lea Thompson Jeffrey Weissman Thomas F. Wilson Robert Zemeckis Adventure Comedy Sci-Fi Western
get hard,Will Ferrell Alison Brie Craig T. Nelson Etan Cohen Comedy Crime
bram stoker's dracula,Keanu Reeves Anthony Hopkins Gary Oldman Francis Ford Coppola Fantasy Horror Romance
julie & julia,Meryl Streep Mary Lynn Rajskub Vanessa Ferlito Nora Ephron Biography Drama Romance
42,Harrison Ford Christopher Meloni Nicole Beharie Brian Helgeland Biography Drama Sport
the talented mr. ripley,Philip Seymour Hoffman Matt Damon Jack Davenport Anthony Minghella Crime Drama Thriller
dumb and dumber to,Bill Murray Kathleen Turner Rob Riggle Bobby Farrelly Comedy
eight below,Paul Walker Bruce Greenwood Wendy Crewson Frank Marshall Adventure Drama Family
the intern,Robert De Niro Anne Hathaway Rene Russo Nancy Meyers Comedy Drama
ride along 2,Olivia Munn Nadine Velazquez Bruce McGill Tim Story Action Comedy
the last of the mohicans,Wes Studi Terry Kinney Eric Schweig Michael Mann Action Adventure Drama Romance War
ray,Bokeem Woodbine Curtis Armstrong Harry Lennix Taylor Hackford Biography Drama Music
sin city,Rosario Dawson Powers Boothe Jason Douglas Frank Miller Crime Thriller
vantage point,Dennis Quaid Edgar Ramírez William Hurt Pete Travis Crime Drama Mystery Thriller
"i love you, man",J.K. Simmons Jon Favreau Jane Curtin John Hamburg Comedy Romance
shallow hal,Jason Alexander Bruce McGill Susan Ward Bobby Farrelly Comedy Drama Fantasy Romance
jfk,Sally Kirkland Jay O. Sanders Cheryl Penland Oliver Stone Drama History Thriller
big momma's house 2,Chloë Grace Moretz Nia Long Marisol Nichols John Whitesell Comedy Crime
the mexican,J.K. Simmons Brad Pitt Julia Roberts Gore Verbinski Adventure Comedy Crime Romance
unbroken,Finn Wittrock Jack O'Connell Alex Russell Angelina Jolie Pitt Biography Drama Sport War
17 again,Matthew Perry Hunter Parrish Thomas Lennon Burr Steers Comedy Drama Family Fantasy Romance
the other woman,Don Johnson Kate Upton David Thornton Nick Cassavetes Comedy Romance
the final destination,Krista Allen Andrew Fiscella Shantel VanSanten David R. Ellis Horror
bridge of spies,Tom Hanks Mark Rylance Amy Ryan Steven Spielberg Drama History Thriller
behind enemy lines,Joaquim de Almeida David Keith Sam Jaeger John Moore Action Drama Thriller War
get him to the greek,Pink Mario Lopez Lino Facioli Nicholas Stoller Comedy Music
shall we dance,Lisa Ann Walter Nick Cannon Omar Benson Miller Peter Chelsom Comedy Drama Romance
small soldiers,Kirsten Dunst Denis Leary Robert Picardo Joe Dante Action Adventure Comedy Family Sci-Fi
spawn,Michael Jai White Frank Welker Miko Hughes Mark A.Z. Dippé Action Horror
the count of monte cristo,Henry Cavill James Frain Michael Wincott Kevin Reynolds Action Adventure Drama Romance Thriller
the lincoln lawyer,Matthew McConaughey Margarita Levieva Frances Fisher Brad Furman Crime Drama Thriller
unknown,Liam Neeson Frank Langella Aidan Quinn Jaume Collet-Serra Action Mystery Thriller
the prestige,Christian Bale Hugh Jackman Scarlett Johansson Christopher Nolan Drama Mystery Sci-Fi Thriller
